SEL407, ELECTRONICA DE POTENCIA
SEL307, ELECTRONICA I
SEL309, ELECTRONICA II
FIS205, ELEMENTOS DE ESTATICA
CEHG-05, EQUIPOS DE ALTO RENDIMIENTO
BMD407, EQUIPOS DE LABORATORIO
BMD403, EQUIPOS DE OXIGENOTERAPIA
BMD406, EQUIPOS DE SOPORTE DE VIDA
BMD409, EQUIPOS SALA DE OPERACIONES
ESP101, ESPANOL
MAT301, ESTADIST. MATEMATICA I
MAT301, ESTADIST. MATEMATICA I
MAT302, ESTADIST. MATEMATICA II
MAT107, ESTADISTICA I
MAT205, ESTADISTICA II
TLL313, ESTADÍSTICA SOCIAL APLICADA -
CIV301, ESTATICA
MER408, ESTRATEG.DE MERC. INTER - 01/303
ADM402, ESTRATEGIA GERENCIAL
CIV309, ESTRUCT. CONCRETO I
CIV312, ESTRUCT. DE CONCRETO II
ARQ301, ESTRUCTURAS I
ARQ303, ESTRUCTURAS III
TLL308, ETICA PROFESIONAL
PSE304, ETICA PSICOLOGICA - Plan Viejo Comp. UNITEC secc 554
CIV413, EVALUACION DE PROYECTOS
ESP102, EXPRESION ORAL
ESP102, EXPRESION ORAL
ESP102, EXPRESION ORAL 
FIL101, FILOSOFIA
FIL402, FILOSOFÍA DEL DERECHO
FIL102, FILOSOFÍA POLÍTICA
FIN402, FINANZAS INTERNACIONAL
FIS201, FISICA I
FIS202, FISICA II
FIS203, FISICA III
FIS204, FISICA IV
ADM303, FORMULAC Y GEST DE PROYE
CEER-10, FORMULACIÓN Y EVAL. PROYECTOS
ART106, FOTOGRAFIA - 05/301
ART106, FOTOGRAFIA - 05/301
ART106, FOTOGRAFIA - Aula edificio 5
CFP-05, FOTOGRAFIA COMERCIAL
ART108, FOTOGRAFIA COMERCIAL - Aula edificio 5 comp secc 249
ART111, FOTOGRAFIA COMERCIAL - Aula edificio 5 comp. secc. 248
CFP-04, FOTOGRAFIA DE RETRATO
CFP-01, FOTOGRAFIA DIGITAL
FRA101, FRANCES I
FRA102, FRANCES II
FRA103, FRANCES III
FRA104, FRANCES IV
COM209, FUND. TEC. MED. AUDIOV. - Modalidad tutoría
COM213, FUNDAM. CREATIVIDAD PUBLICIT. - 05/601
COM101, FUNDAM., TEORIA DE COMUN 
EMP401, GENER. DE EMPRESAS I
EMP402, GENER. DE EMPRESAS II
CDA-01, GENERACION DE IDEAS M.N.
CPO307, GEOGR. POLIT. ECON. Y SOCIAL
TUR103, GEOGRAFIA TURISTICA NACIONAL
